แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
วู้|วว|ว่าง|สักที,ป่าวววว,รวยละดิ,อือ,เรัยนละ,เจนอ่ะๆ,ไม่ๆเว่ย,อาไยยยยยยย,จริง
ทำ|ไม่ทัน|ข้อ|สุดท้าย,รับบ่ทัน
ส่ง|มา|เลย,ปวดฟันอยุ
อารมณ์|แกล้ง|หมด|ละ,อารมใคร
ติว|ซอก,อ้อออ
มัน|เขียน|ผิด,มันเอียง
อืมม|บาย|คับ,พี่ฟิ้วว,ค่า
ไม่ได้|เรียน|เลย,กรรรม
ดู|คนเดียว|อีก,กำ
ตอน|เปิดเทอม|บิ|นอน|ที่ไหน|อ่ะ,บ้านนนน
แล้ว|พรุ่งนี้|ไอ|ไป|ไหน|มั้ย,ทัมค้า,ไปมอจ้า,ไม่อ่ะ
ถาม|ล้าน|รอบ|ได้,บ่นมาก
ได้|ไปดู|หนัง|มั่ง|ป่ะ|ช่วงนี้,ไม่เลยย,ป่าวเลย,ไม่อ้ะ555,ดูจ้าาา,ป่าวอ่า
เออ|ก็ได้,ดี
ก็|ไม่|นะ|ปกติ,ดูรูปๆ,ประชดดิ,อื้อ
อยากรู้|จริง|เวลา|คุย|จะ|ไง,ไรไม่รุ-  -
ช่าย|แม่น|แล้ว,โอ้วว!!!,น่าจ๊งจ๊านนน
แต่|ถ้า|เยอะ|เกิน|ก็|ไม่ไหว,อ่าเคต,ใช่ๆ 5555
เรียนจบ|ยัง|อ่ะ,ยังๆ
พา|สาว|กลับบ้าน,พาไม ไม่พา
ยัง|ไม่ได้|ดู|ต่อ|เลย,ดูดิ
นั้น|ถึง|หอ|แล้ว|ใช่|ป่ะ,อือ
ม.|ปลาย|มี|อะไร|จูงใจ,อืมมม
ต้อง|ลอง|เล่น,หูย,อือ
ก็|ไม่แน่|นะ,อ้าววว
ตื่น|ไป|ไหน|แต่เช้า|เชียว,เที่ยววว,ว่างั่นอ่ะ
ต้อง|ดีใจ|ด้วย|มั้ย,แน่สิยะ
กะ|ให้|ช่วย|ดูงาน|หน่อย,ทำไร,มาดิ
แต่|เห็น|ว่า|เปิด|กัน|ต้นเดือน,ใช่ๆ
ยัง|ไม่|ใช้|ใช่|ป่ะ,ยังงง
รู้สึก|ละ,ง่าาาาาาาาา
ยุ่ง|ทั้งวัน|อ่ะ,ทำไรรร,ก็ได้
ง่ะ|มี|การบ้าน|กัน|ด้วย,เอามาๆ,55555 มีๆ
กลับ|ไป|จะ|ทำราย,นอน,นอนโง่ๆ,หลายอย่าง
กลัว|ว่า|แค่นั้น|จะ|ไม่พอ,แสดงออก
ไม่|ให้|หรอก|ฮึ,ง่าสสส
ยิ้ม|แบบนี้|น่าสงสัย|แฮะ,ทำมายยยยยย,เสดแระ
ใคร|จะ|รู้|วว,จะบ้างายยย
หมด|อีกแล้ว,ฟัง 93 เลย
ใกล้|แล้ว|ล่ะ,อืมๆ,ใช่ๆจ้า
เที่ยว|เฉย|เรอะ,อืม
รู้สึก|เหมือน|อะไร|สัก|อย่าง,ช่ายเลยยย
ไป|กับ|พี่|รหัส|น่ะ,อ้อก้าบ 
ห่าง|ไง|ก็|อยู่|บ้าน|เธอ,ป้าว
ลืมตา|จ้ะ,หรอ
อาจจะ|อ่ะ,แง่ว
ฝั่ง|มอ|เลย,ซ้ายขวา
ยัง|ไม่|หาย|งอน|อีก|หรอ,เรื่อง?
เพราะ|ยา|รึ|ป่าว|เนี่ย,ไม่ค้า
จะ|ฟัง,แหงะ
หอ|ต่อ|ไม่ได้|อีก|แระ,กำ
ตอนนี้|ยุ|หอ|เพื่อน,อือ
รู้จัก|คน|ชื่อ|มะ,ไหน
พึ่ง|จะ|โทร|ไป|มะ,เออเนาะ,งานหรอ
นอน|เลย|กรุ,ได้ยัง
รู้สึก|เหนื่อย|ท้อ|มั่ง|ป่ะ,อืม
วันนี้|สอบ|เป็น|ไง|มั่ง,ลอกค่ะ555,งงๆ,ยากสุดๆ,ยากดีน้ะ,มึนๆอะ,เฉบๆ,เน่า,สบายยยยยยยย
กะ|จะ|ไป|ทำการบ้าน|ต่อ|ละ,ค่ะ ,ดีเจงๆ
แค่|ถาม|ดู|ว่า|ลืม|หรอ,เปล่า
เอา|งาย,แปป
อ่า|ไม่เป็นไร|ตามสบาย|เถอะ,อ่าา .__.,อ่าว
วัน|เดียว|ก็|พอ|แระ,แน่ใจ๊??,3คิว ?
เด๋ว|กลับ|ละ,กากสส
พี่|ถึง|มอ|แร,จ้า
จิ|เข้าชม|รม|กัน|ป่ะ,เข้าได้
ใจ|ร่ม|ละ|กัน,เคลียแล่ว 
ตอน|แล้ว|มัน|เปลี่ยน|อยู่ดี,อ้าว
ใคร|เค้า|เรียก|โมง,บ้านเค้า
พึ่ง|ตื่น|สดๆ|เลย|เนี่ย,พลาดแหละ,นานแบ้ว,เงิบ,จ้า
ลง|กลุ่ม|ไหน|ไว้|อ่า,ปิงปอง
เรา|ยัง|ไม่|ปิดเทอม,ป่าว,อ้าวเห่ยยย
ดี|ช่วย|ต่อ|ที่|เหลือ|ให้,ไม่เป็นไร 555
เห็น|มึง|คุย|กับ|เม|สอย,งง
ถึง|บท|งาย,เข้
ไม่|ไปเที่ยว|กัน|บ้าง|ล่ะ,ขี้เกียจจจ
นึก|ว่าว|งอ|ยุ|โทษ|ที,คับผม,โกดดดด,เสดละ 555,ไม่เป็นไร..,ง่ะๆๆ
แต่|สักพัก|ก็|เอา|อีก|ละ,อืมๆ,ทำไรกาน,ไง
สวย|อ่ะ,มาก
ไข่เจียว|อ่ะ,อ่า
หมาย|อะไร|หรอ,อะรัย
เจ|เป้|อะไร|อ่ะ,พาแม่ไปปปป
แอบ|เข้ามา|ห้อง|พี่|ป่ะ|นี่,ช่ายยยย,เข้าอยุ,ออนอยู่
ใน|กลุ่ม|ที่|โพส|อ่ะ,เชี่ยเอ้ยยย,เด๋วมา,มิ้ยยังมั่ยทัมเร้ยยย
มม.|เห็น|อันนี้|ขอบเขต|ไม่|เปลี่ยน,ผิดไง
อืม|มัน|ไม่|แปลก|หรอก,อาจจะนึก,ไรอะ
ดูเหมือน|ลูก|มา|ซบ|ตัก,หึหึ
งั้น|ตามนั้น,นี่,ป่าว
ก็|ตามนั้น|ล่ะ,อยู่อะไร,ตามไหน
มัน|เป็น|กีฬา|มหาลัย|น่ะ,อ่ออออ,ไพ่หรองื
พี่|แอด|ไก่|ไป|ละ|นะ,หะ
กิ๊ก|ขนุน,อืม
ทำ|พาน|ต่อ|อ่ะ|หรอ,ป่าว
เครื่อง|กุ|ไม่มี,โหลดดิ==
บอย|แต่|ไม่ได้|ติดตาม|อ่ะ|นะ,อ่อออ
คืนนี้|โดน|ทับ|แน่,กรี๊ดดดด
กระตุก|หมด|ทุกคน|ใช่|ป่ะ,อืม
โอเค|ตามนั้น,อื้อ
พน|สอบ|อีก|ใช่|ป่ะ,อื้อ,อือ,คะ,หา,อืม,เยสเซ่อะะะ
หลังจากนั้น|มา|ไม่เคย|แตะ|ปัง,บอสอะ
นอน|ยัง|งง,ยัง
พี่ชาย|จ้า,อ่ออ
คิด|ว่าย|ไม่|กลับ,ออ
พรุ่งนี้|อย่า|ฝืน|อีก|ล่ะ,อ่าฮะๆ
แล้วแต่|ชอบ,แคล
น่า|บนสุด|ก็,ก้ชนะ
เรา|กลัว|วิก|อ่ะ,ทำไมอะ
ไปดู|รุ่นน้อง|อ่ะ,นอนๆๆ
ไข่ดาว|นี้|ชื่อเล่น|จริงๆ|เลย|ป่ะ,ใช่,อือ,พี่ฟิว,หะ,ช่ายย,วันพุธ
อย่า|ยอ|เยอะ|เขิน,ขาด1
อาจจะ|ไม่มี|จริงๆ|ก็ได้|แฮะ,แหง่วววววว
กระโดด|เลย,ทำไมไม่ 5 6 7
สอบ|ปลายเดือน|หน้า|อ่ะ,ไม่รุว่ะ
ตลอดชีวิต|ที่ผ่านมา,น้อยนะคะ
เดี๋ยว|อาทิตย์|หน้า|ค่อย|เรียก,ดีแล้ว
อิ่ม|จริง|เดะ,จริง 55,เออ
ไป|ตั้งแต่|ทุ่ม|ละ,อ่ออ
ลืม|เติม|ตัว|สุดท้าย,ออ
รอ|อ่ะ|นะ,อืม
เก๋|เลี้ยง|หมา|พัน|อะไร|หรอ,พุดเดิ้ลๆ
แน่|เรอะ,แน่มาก 555
ดู|ตอน|ไหน|แระ,7 เองงง,หลายตอน
ว่าง|ยุ|มา,อื้อ
เดือน|หน้า|อ่ะ,เออ
กำลังจะ|ไป|เล่น|เกม|กัน,แบป,ไปเลย,กับ
ชอบ|วง|นี้|ยุ|เหมือนกัน,อ่าห๊ะ
ไม่รู้|เหมือนกัน|อ่ะ,กำ
แล้ว|ง่วง|ป่ะ,นิดนึง
ไป|ทำ|ไร|มา,มา ค่าย,ไม่รุ้วเลยยย 
จะ|ให้|โทร|ป่ะ|ล่ะ,ไม่เอา
ก็|สอบ|แก้|ไง,ทำไรยุ
รู้|เอง|กัน|ยุ,ง่ะ,ทำไมหรอ
จะ|ไป|ละ|ยก|ด้วย|นะ,โหล,อ่อ จ้า,อ่ออ
ทั้งหมด|อ่ะ,อ่าาา
ถึง|ละ|โทรม,ไม่
นาน|มา,อื้อ
พี่|ชอบ|รูป|แรก|อ่ะ,ก็ดี
เอ้อ|จะ|คอย|ดู,ฝันดีๆ,จัดไป
ตัด|ที่ไหน|อ่ะ,ซอย30
ตัง|ไม่มี|ละ,ทำไงล้ะแหม
ก็|เกิน|ป้าย,แหมะ
ก็|เกินไป,จริงงง,ได้อยุๆ,จิงๆนะ,จริง
แค่|บอก|ไว้,ไร
ทำได้|อ่ะ|ดิ,พอทำได้นิ
นอน|ไว|จริงๆ,เอายัง
เครื่อง|กาก|ไง,แสส,กากง..??,เอ่า,งง,อ่าวเห้ย,ค่ะ,ฮอนมั้ยยย
เดี๋ยว|พี่|ได้|ไป|อ่าน|มา,งับ
อาจาร|ให้|ทำ|โปรแกรม|ไร|นะ,นั่นดิ
กลับ|หอม|นาน|ยัง|อ่ะ,นานแล้ว,ซัก5ทุ่ม,แล้วว,ยังเลย,ใช่ป้ะ 555
ก่อน|เปิด|กลุ่ม|นี้|อีก,ดีๆ
เรา|โทรม|ไป|เปล่า|อ่ะ|ช่วงนี้,กำ
ดีขึ้น|บ้าง|รึ|ป่าว|นั่น,รัก ๆ รักเทอ >'<,ไลน์ๆ
ช่วงนี้|ปิดเทอม|หรอ,เปิดด
เค้า|มี|ให้|สอบซ่อม|อาทิตย์|หน้า,ปิดเฟส
เข้ามา|ใหม่,เข้าล่ะ
เด่ว|ไป|ซ้อม|ละ|นะ,จ้า
ติว|เวล|หรอ,ใช้แล้ว
ค่อย|ตอน|ปีใหม่,ฟิว
เล่น|สอง|อย่าง|เลย|หรอ,ใช่แล้ว
ทำ|แต่|ไม่|ดีจริง,แล้วแต่
ออกมา|ซื้อ|ลูกชิ้น|หน้า|มอ,หอไหน,เค ฝันดี
ปกติ|หมวย|นอน|กี่|โมง|อ่ะ,5 ทุ่ม,4 - 5 ทุ่มเนี็ยแหล่ะ,3ทุ่ม,ตี 2 มั้ง,เช้า
เล่น|อะไร|ยุ,นอนละสัส
ก็|เห็น|โอ|ว่าง|ช่วง|นั้น,อืม,ทุกคนแหบะ ,ว่าไง
ก็|ไม่รู้|เหมือนกัน|แฮะ,เช้าา?,อ่าาา,กำ
จำนวนนับ|นี้|หรอ,จ๊ะๆ
สัก|เวล|ก่อน|อ่ะ,อ่ออ
รู้|ได้|ไง,แก่
แล้ว|ดี้|เล่น|กับ|อะไร|โทรศัพท์,ค่ะ
พอ|ชวน|ก็|ขี้เกียจ,จะคอลไหม
รอ|วอ|งอ|ยุ,อ่อ งั้นสู้ๆๆ
ประมาณ|คับ,โอเคคับ
จริง|เว้ย,หึหึ
ไปเที่ยว|แระ,อือๆ
สรุป|แค่|ลง|บอร์ด|ปกติ,แปป
หนังสือ|ดูด|วิญญาณ|เห็น,ไม่ใช่แบ้ว 5555555
อ่ะ|ไว้|เจอกัน|พน|จ้า,เชๆเจอกันพน,ค่าาาาา
ถาม|ตลอดทาง|อ่ะ,ถุย
เปิด|ลำโพง|กับ|ด้วย,ฮาโหลล
หรือ|นี่|ล่ะ,9พรีเซน
